"leccionId","titulo","descripcion","duracionMin","numero"
"L000233","Conceptos y teoría - Caso práctico","Conceptos y teoría - Caso práctico - Contenido teórico y práctico.",5,2
"L000234","Ejemplo práctico guiado - Caso práctico","Ejemplo práctico guiado - Caso práctico - Contenido teórico y práctico.",10,3
"L000235","Ejercicio para el alumno - Caso práctico","Ejercicio para el alumno - Caso práctico - Contenido teórico y práctico.",8,4
"L000236","Instalación y configuración - Aspectos avanzados de ciberseguridad","Instalación y configuración - Aspectos avanzados de ciberseguridad - Contenido teórico y práctico.",23,1
"L000237","Conceptos y teoría - Aspectos avanzados de ciberseguridad","Conceptos y teoría - Aspectos avanzados de ciberseguridad - Contenido teórico y práctico.",28,2
"L000238","Ejemplo práctico guiado - Aspectos avanzados de ciberseguridad","Ejemplo práctico guiado - Aspectos avanzados de ciberseguridad - Contenido teórico y práctico.",12,3
"L000239","Ejercicio para el alumno - Aspectos avanzados de ciberseguridad","Ejercicio para el alumno - Aspectos avanzados de ciberseguridad - Contenido teórico y práctico.",22,4
"L000240","Instalación y configuración - Auditoría","Instalación y configuración - Auditoría - Contenido teórico y práctico.",8,1
"L000241","Conceptos y teoría - Auditoría","Conceptos y teoría - Auditoría - Contenido teórico y práctico.",10,2
"L000242","Ejemplo práctico guiado - Auditoría","Ejemplo práctico guiado - Auditoría - Contenido teórico y práctico.",13,3
"L000243","Instalación y configuración - Herramientas y mitigación","Instalación y configuración - Herramientas y mitigación - Contenido teórico y práctico.",6,1
"L000244","Conceptos y teoría - Herramientas y mitigación","Conceptos y teoría - Herramientas y mitigación - Contenido teórico y práctico.",9,2
"L000245","Ejemplo práctico guiado - Herramientas y mitigación","Ejemplo práctico guiado - Herramientas y mitigación - Contenido teórico y práctico.",16,3
"L000246","Ejercicio para el alumno - Herramientas y mitigación","Ejercicio para el alumno - Herramientas y mitigación - Contenido teórico y práctico.",21,4
"L000247","Instalación y configuración - Respuesta ante incidentes","Instalación y configuración - Respuesta ante incidentes - Contenido teórico y práctico.",11,1
"L000248","Conceptos y teoría - Respuesta ante incidentes","Conceptos y teoría - Respuesta ante incidentes - Contenido teórico y práctico.",7,2
"L000249","Ejemplo práctico guiado - Respuesta ante incidentes","Ejemplo práctico guiado - Respuesta ante incidentes - Contenido teórico y práctico.",7,3
